Drug,Class,Biomarker,Labeling Sections
Abacavir,Infectious Diseases,HLA-B,"Boxed Warning, Dosage and Administration, Contraindications, Warnings and Precautions"
Abemaciclib (1),Oncology,ESR (Hormone Receptor),"Indications and Usage, Adverse Reactions, Clinical Studies"
Abemaciclib (2),Oncology,ERBB2 (HER2),"Indications and Usage, Adverse Reactions, Clinical Studies"
Ado-Trastuzumab Emtansine,Oncology,ERBB2 (HER2),"Indications and Usage, Warnings and Precautions, Adverse Reactions, Clinical Pharmacology, Clinical Studies"
Afatinib,Oncology,EGFR,"Indications and Usage, Dosage and Administration, Adverse Reactions, Clinical Studies"
Alectinib,Oncology,ALK,"Indications and Usage, Dosage and Administration, Adverse Reactions, Clinical Pharmacology, Clinical Studies"
Amifampridine,Neurology,NAT2,"Dosage and Administration, Use in Specific Populations, Clinical Pharmacology"
Amitriptyline,Psychiatry,CYP2D6,Precautions
Amoxapine,Psychiatry,CYP2D6,Precautions
Amphetamine,Psychiatry,CYP2D6,Clinical Pharmacology
Anastrozole,Oncology,"ESR, PGR (Hormone Receptor)","Indications and Usage, Adverse Reactions, Drug Interactions, Clinical Studies"
Arformoterol (1),Pulmonary,UGT1A1,Clinical Pharmacology
Arformoterol (2),Pulmonary,CYP2D6,Clinical Pharmacology
Aripiprazole,Psychiatry,CYP2D6,"Dosage and Administration, Use in Specific Populations, Clinical Pharmacology"
Aripiprazole Lauroxil,Psychiatry,CYP2D6,"Dosage and Administration, Use in Specific Populations, Clinical Pharmacology"
Arsenic Trioxide,Oncology,PML-RARA,Indications and Usage
Articaine and Epinephrine (1),Anesthesiology,G6PD,Warnings and Precautions
Articaine and Epinephrine (2),Anesthesiology,Nonspecific  (Congenital Methemoglobinemia),Warnings and Precautions
"Ascorbic Acid, PEG-3350, Potassium Chloride, Sodium Ascorbate, Sodium Chloride, and Sodium Sulfate",Gastroenterology,G6PD,Warnings and Precautions
